lambdacoll,Tcoll,lambda22deg,T22deg,lambda3deg,T3deg
649.0,0.0,649.0,1e-11,649.0,0.0
649.0069011,0.0,649.0069011,1e-11,649.0069011,0.0
649.0138022,0.0,649.0138022,1e-11,649.0138022,0.0
649.0207033,0.0,649.0207033,1e-11,649.0207033,0.0
649.0276043,0.0,649.0276043,1e-11,649.0276043,0.0
649.0345054,0.0,649.0345054,1e-11,649.0345054,0.0
649.0414065,0.0,649.0414065,1e-11,649.0414065,0.0
649.0483076,0.0,649.0483076,1e-11,649.0483076,0.0
649.0552087,0.0,649.0552087,1e-11,649.0552087,0.0
649.0621098,0.0,649.0621098,1e-11,649.0621098,0.0
649.0690108,0.0,649.0690108,1e-11,649.0690108,0.0
649.0759119,0.0,649.0759119,1e-11,649.0759119,0.0
649.082813,0.0,649.082813,1e-11,649.082813,0.0
649.0897141,0.0,649.0897141,1e-11,649.0897141,0.0
649.0966152,0.0,649.0966152,1e-11,649.0966152,0.0
649.1035163,0.0,649.1035163,1e-11,649.1035163,0.0
649.1104174,0.0,649.1104174,1e-11,649.1104174,0.0
649.1173184,0.0,649.1173184,1e-11,649.1173184,0.0
649.1242195,0.0,649.1242195,1e-11,649.1242195,0.0
649.1311206,0.0,649.1311206,1e-11,649.1311206,0.0
649.1380217,0.0,649.1380217,1e-11,649.1380217,0.0
649.1449228,0.0,649.1449228,1e-11,649.1449228,0.0
649.1518239,0.0,649.1518239,1e-11,649.1518239,0.0
649.1587249,0.0,649.1587249,1e-11,649.1587249,0.0
649.165626,0.0,649.165626,1e-11,649.165626,0.0
649.1725271,0.0,649.1725271,1e-11,649.1725271,0.0
649.1794282,0.0,649.1794282,1e-11,649.1794282,0.0
649.1863293,0.0,649.1863293,1e-11,649.1863293,0.0
649.1932304,0.0,649.1932304,1e-11,649.1932304,0.0
649.2001314,0.0,649.2001314,1e-11,649.2001314,0.0
649.2070325,0.0,649.2070325,1e-11,649.2070325,0.0
649.2139336,0.0,649.2139336,1e-11,649.2139336,0.0
649.2208347,0.0,649.2208347,1e-11,649.2208347,0.0
649.2277358,0.0,649.2277358,1e-11,649.2277358,0.0
649.2346369,0.0,649.2346369,1e-11,649.2346369,0.0
649.241538,0.0,649.241538,1e-11,649.241538,0.0
649.248439,0.0,649.248439,1e-11,649.248439,0.0
649.2553401,0.0,649.2553401,1e-11,649.2553401,0.0
649.2622412,0.0,649.2622412,1e-11,649.2622412,0.0
649.2691423,0.0,649.2691423,1e-11,649.2691423,0.0
649.2760434,0.0,649.2760434,1e-11,649.2760434,0.0
649.2829445,0.0,649.2829445,1e-11,649.2829445,0.0
649.2898455,0.0,649.2898455,1e-11,649.2898455,0.0
649.2967466,0.0,649.2967466,1e-11,649.2967466,0.0
649.3036477,0.0,649.3036477,1e-11,649.3036477,0.0
649.3105488,0.0,649.3105488,1e-11,649.3105488,0.0
649.3174499,0.0,649.3174499,1e-11,649.3174499,0.0
649.324351,0.0,649.324351,1e-11,649.324351,0.0
649.3312521,0.0,649.3312521,1e-11,649.3312521,0.0
649.3381531,0.0,649.3381531,1e-11,649.3381531,0.0
649.3450542,0.0,649.3450542,1e-11,649.3450542,0.0
649.3519553,0.0,649.3519553,1e-11,649.3519553,0.0
649.3588564,0.0,649.3588564,1e-11,649.3588564,0.0
649.3657575,0.0,649.3657575,1e-11,649.3657575,0.0
649.3726586,0.0,649.3726586,1e-11,649.3726586,0.0
649.3795596,0.0,649.3795596,1e-11,649.3795596,0.0
649.3864607,0.0,649.3864607,1e-11,649.3864607,0.0
649.3933618,0.0,649.3933618,1e-11,649.3933618,0.0
649.4002629,0.0,649.4002629,1e-11,649.4002629,0.0
649.407164,0.0,649.407164,1e-11,649.407164,0.0
649.4140651,0.0,649.4140651,1e-11,649.4140651,0.0
649.4209662,0.0,649.4209662,1e-11,649.4209662,0.0
649.4278672,0.0,649.4278672,1e-11,649.4278672,0.0
649.4347683,0.0,649.4347683,1e-11,649.4347683,0.0
649.4416694,0.0,649.4416694,1e-11,649.4416694,0.0
649.4485705,0.0,649.4485705,1e-11,649.4485705,0.0
649.4554716,0.0,649.4554716,1e-11,649.4554716,0.0
649.4623727,0.0,649.4623727,1e-11,649.4623727,0.0
649.4692737,0.0,649.4692737,1e-11,649.4692737,0.0
649.4761748,0.0,649.4761748,1e-11,649.4761748,0.0
649.4830759,0.0,649.4830759,1e-11,649.4830759,0.0
649.489977,0.0,649.489977,1e-11,649.489977,0.0
649.4968781,0.0,649.4968781,1e-11,649.4968781,0.0
649.5037792,0.0,649.5037792,1e-11,649.5037792,0.0
649.5106802,0.0,649.5106802,1e-11,649.5106802,0.0
649.5175813,0.0,649.5175813,1e-11,649.5175813,0.0
649.5244824,0.0,649.5244824,1e-11,649.5244824,0.0
649.5313835,0.0,649.5313835,1e-11,649.5313835,0.0
649.5382846,0.0,649.5382846,1e-11,649.5382846,0.0
649.5451857,0.0,649.5451857,1e-11,649.5451857,0.0
649.5520868,0.0,649.5520868,1e-11,649.5520868,0.0
649.5589878,0.0,649.5589878,1e-11,649.5589878,0.0
649.5658889,0.0,649.5658889,1e-11,649.5658889,0.0
649.57279,0.0,649.57279,1e-11,649.57279,0.0
649.5796911,0.0,649.5796911,2e-11,649.5796911,0.0
649.5865922,0.0,649.5865922,2e-11,649.5865922,0.0
649.5934933,0.0,649.5934933,2e-11,649.5934933,0.0
649.6003943,0.0,649.6003943,2e-11,649.6003943,0.0
649.6072954,0.0,649.6072954,2e-11,649.6072954,0.0
649.6141965,0.0,649.6141965,2e-11,649.6141965,0.0
649.6210976,0.0,649.6210976,2e-11,649.6210976,0.0
649.6279987,0.0,649.6279987,2e-11,649.6279987,0.0
649.6348998,0.0,649.6348998,2e-11,649.6348998,0.0
649.6418009,0.0,649.6418009,2e-11,649.6418009,0.0
649.6487019,0.0,649.6487019,2e-11,649.6487019,0.0
649.655603,0.0,649.655603,2e-11,649.655603,0.0
649.6625041,0.0,649.6625041,2e-11,649.6625041,0.0
649.6694052,0.0,649.6694052,2e-11,649.6694052,0.0
649.6763063,0.0,649.6763063,2e-11,649.6763063,0.0
649.6832074,0.0,649.6832074,2e-11,649.6832074,0.0
649.6901084,0.0,649.6901084,2e-11,649.6901084,0.0
649.6970095,0.0,649.6970095,2e-11,649.6970095,0.0
649.7039106,0.0,649.7039106,2e-11,649.7039106,0.0
649.7108117,0.0,649.7108117,2e-11,649.7108117,0.0
649.7177128,0.0,649.7177128,2e-11,649.7177128,0.0
649.7246139,0.0,649.7246139,2e-11,649.7246139,0.0
649.731515,0.0,649.731515,2e-11,649.731515,0.0
649.738416,0.0,649.738416,2e-11,649.738416,0.0
649.7453171,0.0,649.7453171,2e-11,649.7453171,0.0
649.7522182,0.0,649.7522182,2e-11,649.7522182,0.0
649.7591193,0.0,649.7591193,2e-11,649.7591193,0.0
649.7660204,0.0,649.7660204,2e-11,649.7660204,0.0
649.7729215,0.0,649.7729215,2e-11,649.7729215,0.0
649.7798225,0.0,649.7798225,2e-11,649.7798225,0.0
649.7867236,0.0,649.7867236,2e-11,649.7867236,0.0
649.7936247,0.0,649.7936247,2e-11,649.7936247,0.0
649.8005258,0.0,649.8005258,2e-11,649.8005258,0.0
649.8074269,0.0,649.8074269,2e-11,649.8074269,0.0
649.814328,0.0,649.814328,2e-11,649.814328,0.0
649.8212291,0.0,649.8212291,2e-11,649.8212291,1e-11
649.8281301,0.0,649.8281301,2e-11,649.8281301,1e-11
649.8350312,1e-11,649.8350312,2e-11,649.8350312,1e-11
649.8419323,1e-11,649.8419323,2e-11,649.8419323,1e-11
649.8488334,1e-11,649.8488334,2e-11,649.8488334,1e-11
649.8557345,1e-11,649.8557345,2e-11,649.8557345,1e-11
649.8626356,1e-11,649.8626356,2e-11,649.8626356,1e-11
649.8695366,1e-11,649.8695366,2e-11,649.8695366,1e-11
649.8764377,1e-11,649.8764377,2e-11,649.8764377,1e-11
649.8833388,1e-11,649.8833388,2e-11,649.8833388,1e-11
649.8902399,1e-11,649.8902399,2e-11,649.8902399,1e-11
649.897141,1e-11,649.897141,2e-11,649.897141,1e-11
649.9040421,1e-11,649.9040421,2e-11,649.9040421,1e-11
649.9109431,1e-11,649.9109431,2e-11,649.9109431,1e-11
649.9178442,1e-11,649.9178442,2e-11,649.9178442,1e-11
649.9247453,1e-11,649.9247453,2e-11,649.9247453,1e-11
649.9316464,1e-11,649.9316464,2e-11,649.9316464,1e-11
649.9385475,1e-11,649.9385475,2e-11,649.9385475,1e-11
649.9454486,1e-11,649.9454486,2e-11,649.9454486,1e-11
649.9523497,1e-11,649.9523497,2e-11,649.9523497,1e-11
649.9592507,1e-11,649.9592507,2e-11,649.9592507,1e-11
649.9661518,1e-11,649.9661518,2e-11,649.9661518,1e-11
649.9730529,1e-11,649.9730529,2e-11,649.9730529,1e-11
649.979954,1e-11,649.979954,2e-11,649.979954,1e-11
649.9868551,1e-11,649.9868551,2e-11,649.9868551,1e-11
649.9937562,1e-11,649.9937562,2e-11,649.9937562,1e-11
650.0006572,1e-11,650.0006572,2e-11,650.0006572,1e-11
650.0075583,1e-11,650.0075583,2e-11,650.0075583,1e-11
650.0144594,1e-11,650.0144594,2e-11,650.0144594,1e-11
650.0213605,1e-11,650.0213605,2e-11,650.0213605,1e-11
650.0282616,1e-11,650.0282616,2e-11,650.0282616,1e-11
650.0351627,1e-11,650.0351627,2e-11,650.0351627,1e-11
650.0420638,1e-11,650.0420638,2e-11,650.0420638,1e-11
650.0489648,1e-11,650.0489648,2e-11,650.0489648,1e-11
650.0558659,1e-11,650.0558659,2e-11,650.0558659,1e-11
650.062767,1e-11,650.062767,2e-11,650.062767,1e-11
650.0696681,1e-11,650.0696681,2e-11,650.0696681,1e-11
650.0765692,1e-11,650.0765692,2e-11,650.0765692,1e-11
650.0834703,1e-11,650.0834703,2e-11,650.0834703,1e-11
650.0903713,1e-11,650.0903713,2e-11,650.0903713,1e-11
650.0972724,1e-11,650.0972724,3e-11,650.0972724,1e-11
650.1041735,1e-11,650.1041735,3e-11,650.1041735,1e-11
650.1110746,1e-11,650.1110746,3e-11,650.1110746,1e-11
650.1179757,1e-11,650.1179757,3e-11,650.1179757,1e-11
650.1248768,1e-11,650.1248768,3e-11,650.1248768,1e-11
650.1317779,1e-11,650.1317779,3e-11,650.1317779,1e-11
650.1386789,1e-11,650.1386789,3e-11,650.1386789,1e-11
650.14558,1e-11,650.14558,3e-11,650.14558,1e-11
650.1524811,1e-11,650.1524811,3e-11,650.1524811,1e-11
650.1593822,1e-11,650.1593822,3e-11,650.1593822,1e-11
650.1662833,1e-11,650.1662833,3e-11,650.1662833,1e-11
650.1731844,1e-11,650.1731844,3e-11,650.1731844,1e-11
650.1800854,1e-11,650.1800854,3e-11,650.1800854,1e-11
650.1869865,1e-11,650.1869865,3e-11,650.1869865,1e-11
650.1938876,1e-11,650.1938876,3e-11,650.1938876,1e-11
650.2007887,1e-11,650.2007887,3e-11,650.2007887,1e-11
650.2076898,1e-11,650.2076898,3e-11,650.2076898,1e-11
650.2145909,1e-11,650.2145909,3e-11,650.2145909,1e-11
650.2214919,1e-11,650.2214919,3e-11,650.2214919,1e-11
650.228393,1e-11,650.228393,3e-11,650.228393,1e-11
650.2352941,1e-11,650.2352941,3e-11,650.2352941,1e-11
650.2421952,1e-11,650.2421952,3e-11,650.2421952,1e-11
650.2490963,1e-11,650.2490963,3e-11,650.2490963,1e-11
650.2559974,1e-11,650.2559974,3e-11,650.2559974,1e-11
650.2628985,1e-11,650.2628985,3e-11,650.2628985,1e-11
650.2697995,1e-11,650.2697995,3e-11,650.2697995,1e-11
650.2767006,1e-11,650.2767006,3e-11,650.2767006,1e-11
650.2836017,1e-11,650.2836017,3e-11,650.2836017,1e-11
650.2905028,1e-11,650.2905028,3e-11,650.2905028,1e-11
650.2974039,1e-11,650.2974039,3e-11,650.2974039,1e-11
650.304305,1e-11,650.304305,3e-11,650.304305,1e-11
650.311206,1e-11,650.311206,3e-11,650.311206,1e-11
650.3181071,1e-11,650.3181071,3e-11,650.3181071,1e-11
650.3250082,1e-11,650.3250082,3e-11,650.3250082,1e-11
650.3319093,1e-11,650.3319093,3e-11,650.3319093,1e-11
650.3388104,1e-11,650.3388104,3e-11,650.3388104,1e-11
650.3457115,1e-11,650.3457115,3e-11,650.3457115,1e-11
650.3526126,1e-11,650.3526126,3e-11,650.3526126,1e-11
650.3595136,1e-11,650.3595136,3e-11,650.3595136,1e-11
650.3664147,1e-11,650.3664147,3e-11,650.3664147,1e-11
650.3733158,1e-11,650.3733158,3e-11,650.3733158,1e-11
650.3802169,1e-11,650.3802169,3e-11,650.3802169,1e-11
650.387118,1e-11,650.387118,3e-11,650.387118,1e-11
650.3940191,1e-11,650.3940191,3e-11,650.3940191,1e-11
650.4009201,1e-11,650.4009201,3e-11,650.4009201,1e-11
650.4078212,1e-11,650.4078212,3e-11,650.4078212,1e-11
650.4147223,1e-11,650.4147223,3e-11,650.4147223,1e-11
650.4216234,1e-11,650.4216234,4e-11,650.4216234,1e-11
650.4285245,1e-11,650.4285245,4e-11,650.4285245,1e-11
650.4354256,1e-11,650.4354256,4e-11,650.4354256,1e-11
650.4423267,1e-11,650.4423267,4e-11,650.4423267,1e-11
650.4492277,1e-11,650.4492277,4e-11,650.4492277,1e-11
650.4561288,1e-11,650.4561288,4e-11,650.4561288,1e-11
650.4630299,1e-11,650.4630299,4e-11,650.4630299,1e-11
650.469931,1e-11,650.469931,4e-11,650.469931,1e-11
650.4768321,1e-11,650.4768321,4e-11,650.4768321,1e-11
650.4837332,1e-11,650.4837332,4e-11,650.4837332,1e-11
650.4906342,1e-11,650.4906342,4e-11,650.4906342,1e-11
650.4975353,1e-11,650.4975353,4e-11,650.4975353,1e-11
650.5044364,1e-11,650.5044364,4e-11,650.5044364,1e-11
650.5113375,1e-11,650.5113375,4e-11,650.5113375,1e-11
650.5182386,1e-11,650.5182386,4e-11,650.5182386,1e-11
650.5251397,1e-11,650.5251397,4e-11,650.5251397,1e-11
650.5320407,1e-11,650.5320407,4e-11,650.5320407,1e-11
650.5389418,1e-11,650.5389418,4e-11,650.5389418,1e-11
650.5458429,1e-11,650.5458429,4e-11,650.5458429,1e-11
650.552744,1e-11,650.552744,4e-11,650.552744,1e-11
650.5596451,1e-11,650.5596451,4e-11,650.5596451,1e-11
650.5665462,1e-11,650.5665462,4e-11,650.5665462,1e-11
650.5734473,1e-11,650.5734473,4e-11,650.5734473,1e-11
650.5803483,1e-11,650.5803483,4e-11,650.5803483,1e-11
650.5872494,1e-11,650.5872494,4e-11,650.5872494,1e-11
650.5941505,1e-11,650.5941505,4e-11,650.5941505,1e-11
650.6010516,1e-11,650.6010516,4e-11,650.6010516,1e-11
650.6079527,1e-11,650.6079527,4e-11,650.6079527,1e-11
650.6148538,1e-11,650.6148538,4e-11,650.6148538,1e-11
650.6217548,1e-11,650.6217548,4e-11,650.6217548,1e-11
650.6286559,1e-11,650.6286559,4e-11,650.6286559,1e-11
650.635557,1e-11,650.635557,4e-11,650.635557,1e-11
650.6424581,1e-11,650.6424581,4e-11,650.6424581,1e-11
650.6493592,1e-11,650.6493592,5e-11,650.6493592,1e-11
650.6562603,1e-11,650.6562603,5e-11,650.6562603,1e-11
650.6631614,1e-11,650.6631614,5e-11,650.6631614,1e-11
650.6700624,1e-11,650.6700624,5e-11,650.6700624,1e-11
650.6769635,1e-11,650.6769635,5e-11,650.6769635,1e-11
650.6838646,1e-11,650.6838646,5e-11,650.6838646,1e-11
650.6907657,1e-11,650.6907657,5e-11,650.6907657,1e-11
650.6976668,1e-11,650.6976668,5e-11,650.6976668,1e-11
650.7045679,1e-11,650.7045679,5e-11,650.7045679,1e-11
650.7114689,1e-11,650.7114689,5e-11,650.7114689,1e-11
650.71837,1e-11,650.71837,5e-11,650.71837,1e-11
650.7252711,1e-11,650.7252711,5e-11,650.7252711,1e-11
650.7321722,1e-11,650.7321722,5e-11,650.7321722,1e-11
650.7390733,1e-11,650.7390733,5e-11,650.7390733,1e-11
650.7459744,1e-11,650.7459744,5e-11,650.7459744,1e-11
650.7528755,1e-11,650.7528755,5e-11,650.7528755,1e-11
650.7597765,1e-11,650.7597765,5e-11,650.7597765,1e-11
650.7666776,1e-11,650.7666776,5e-11,650.7666776,1e-11
650.7735787,1e-11,650.7735787,5e-11,650.7735787,1e-11
650.7804798,1e-11,650.7804798,5e-11,650.7804798,1e-11
650.7873809,1e-11,650.7873809,5e-11,650.7873809,1e-11
650.794282,1e-11,650.794282,5e-11,650.794282,1e-11
650.801183,1e-11,650.801183,5e-11,650.801183,1e-11
650.8080841,1e-11,650.8080841,5e-11,650.8080841,1e-11
650.8149852,1e-11,650.8149852,5e-11,650.8149852,1e-11
650.8218863,1e-11,650.8218863,6e-11,650.8218863,1e-11
650.8287874,1e-11,650.8287874,6e-11,650.8287874,1e-11
650.8356885,1e-11,650.8356885,6e-11,650.8356885,1e-11
650.8425895,1e-11,650.8425895,6e-11,650.8425895,1e-11
650.8494906,1e-11,650.8494906,6e-11,650.8494906,1e-11
650.8563917,1e-11,650.8563917,6e-11,650.8563917,1e-11
