lambdacoll,Tcoll,lambda22deg,T22deg,lambda3deg,T3deg
649.0,2e-11,649.0,0.025,649.0,2e-11
649.0069011,2e-11,649.0069011,0.0253,649.0069011,2e-11
649.0138022,2e-11,649.0138022,0.0257,649.0138022,2e-11
649.0207033,2e-11,649.0207033,0.026,649.0207033,2e-11
649.0276043,2e-11,649.0276043,0.0264,649.0276043,2e-11
649.0345054,2e-11,649.0345054,0.0267,649.0345054,2e-11
649.0414065,2e-11,649.0414065,0.027,649.0414065,2e-11
649.0483076,2e-11,649.0483076,0.0273,649.0483076,2e-11
649.0552087,2e-11,649.0552087,0.0276,649.0552087,2e-11
649.0621098,2e-11,649.0621098,0.0279,649.0621098,2e-11
649.0690108,2e-11,649.0690108,0.0282,649.0690108,2e-11
649.0759119,2e-11,649.0759119,0.0284,649.0759119,2e-11
649.082813,2e-11,649.082813,0.0286,649.082813,2e-11
649.0897141,2e-11,649.0897141,0.0289,649.0897141,2e-11
649.0966152,2e-11,649.0966152,0.0291,649.0966152,2e-11
649.1035163,2e-11,649.1035163,0.0292,649.1035163,3e-11
649.1104174,2e-11,649.1104174,0.0294,649.1104174,3e-11
649.1173184,2e-11,649.1173184,0.0296,649.1173184,3e-11
649.1242195,2e-11,649.1242195,0.0297,649.1242195,3e-11
649.1311206,2e-11,649.1311206,0.0299,649.1311206,3e-11
649.1380217,2e-11,649.1380217,0.0301,649.1380217,3e-11
649.1449228,2e-11,649.1449228,0.0302,649.1449228,3e-11
649.1518239,2e-11,649.1518239,0.0304,649.1518239,3e-11
649.1587249,2e-11,649.1587249,0.0305,649.1587249,3e-11
649.165626,2e-11,649.165626,0.0307,649.165626,3e-11
649.1725271,2e-11,649.1725271,0.0309,649.1725271,3e-11
649.1794282,2e-11,649.1794282,0.0311,649.1794282,3e-11
649.1863293,2e-11,649.1863293,0.0313,649.1863293,3e-11
649.1932304,2e-11,649.1932304,0.0316,649.1932304,3e-11
649.2001314,2e-11,649.2001314,0.0319,649.2001314,3e-11
649.2070325,2e-11,649.2070325,0.0322,649.2070325,3e-11
649.2139336,2e-11,649.2139336,0.0325,649.2139336,3e-11
649.2208347,2e-11,649.2208347,0.0328,649.2208347,3e-11
649.2277358,2e-11,649.2277358,0.0332,649.2277358,3e-11
649.2346369,3e-11,649.2346369,0.0336,649.2346369,3e-11
649.241538,3e-11,649.241538,0.0341,649.241538,3e-11
649.248439,3e-11,649.248439,0.0346,649.248439,3e-11
649.2553401,3e-11,649.2553401,0.035,649.2553401,3e-11
649.2622412,3e-11,649.2622412,0.0355,649.2622412,3e-11
649.2691423,3e-11,649.2691423,0.0361,649.2691423,3e-11
649.2760434,3e-11,649.2760434,0.0366,649.2760434,3e-11
649.2829445,3e-11,649.2829445,0.0371,649.2829445,3e-11
649.2898455,3e-11,649.2898455,0.0375,649.2898455,3e-11
649.2967466,3e-11,649.2967466,0.038,649.2967466,3e-11
649.3036477,3e-11,649.3036477,0.0384,649.3036477,3e-11
649.3105488,3e-11,649.3105488,0.0388,649.3105488,3e-11
649.3174499,3e-11,649.3174499,0.0392,649.3174499,3e-11
649.324351,3e-11,649.324351,0.0395,649.324351,3e-11
649.3312521,3e-11,649.3312521,0.0398,649.3312521,3e-11
649.3381531,3e-11,649.3381531,0.0401,649.3381531,3e-11
649.3450542,3e-11,649.3450542,0.0404,649.3450542,3e-11
649.3519553,3e-11,649.3519553,0.0406,649.3519553,3e-11
649.3588564,3e-11,649.3588564,0.0408,649.3588564,3e-11
649.3657575,3e-11,649.3657575,0.0409,649.3657575,3e-11
649.3726586,3e-11,649.3726586,0.0411,649.3726586,3e-11
649.3795596,3e-11,649.3795596,0.0412,649.3795596,3e-11
649.3864607,3e-11,649.3864607,0.0412,649.3864607,3e-11
649.3933618,3e-11,649.3933618,0.0413,649.3933618,3e-11
649.4002629,3e-11,649.4002629,0.0413,649.4002629,3e-11
649.407164,3e-11,649.407164,0.0412,649.407164,3e-11
649.4140651,3e-11,649.4140651,0.0411,649.4140651,3e-11
649.4209662,3e-11,649.4209662,0.0409,649.4209662,3e-11
649.4278672,3e-11,649.4278672,0.0407,649.4278672,3e-11
649.4347683,3e-11,649.4347683,0.0405,649.4347683,3e-11
649.4416694,3e-11,649.4416694,0.0402,649.4416694,3e-11
649.4485705,3e-11,649.4485705,0.0399,649.4485705,4e-11
649.4554716,3e-11,649.4554716,0.0395,649.4554716,4e-11
649.4623727,3e-11,649.4623727,0.0391,649.4623727,4e-11
649.4692737,3e-11,649.4692737,0.0387,649.4692737,4e-11
649.4761748,3e-11,649.4761748,0.0382,649.4761748,4e-11
649.4830759,3e-11,649.4830759,0.0378,649.4830759,4e-11
649.489977,3e-11,649.489977,0.0374,649.489977,4e-11
649.4968781,3e-11,649.4968781,0.0369,649.4968781,4e-11
649.5037792,3e-11,649.5037792,0.0365,649.5037792,4e-11
649.5106802,3e-11,649.5106802,0.0361,649.5106802,4e-11
649.5175813,3e-11,649.5175813,0.0358,649.5175813,4e-11
649.5244824,3e-11,649.5244824,0.0354,649.5244824,4e-11
649.5313835,3e-11,649.5313835,0.0351,649.5313835,4e-11
649.5382846,3e-11,649.5382846,0.0348,649.5382846,4e-11
649.5451857,3e-11,649.5451857,0.0345,649.5451857,4e-11
649.5520868,3e-11,649.5520868,0.0343,649.5520868,4e-11
649.5589878,3e-11,649.5589878,0.034,649.5589878,4e-11
649.5658889,3e-11,649.5658889,0.0339,649.5658889,4e-11
649.57279,3e-11,649.57279,0.0337,649.57279,4e-11
649.5796911,4e-11,649.5796911,0.0336,649.5796911,4e-11
649.5865922,4e-11,649.5865922,0.0335,649.5865922,4e-11
649.5934933,4e-11,649.5934933,0.0335,649.5934933,4e-11
649.6003943,4e-11,649.6003943,0.0335,649.6003943,4e-11
649.6072954,4e-11,649.6072954,0.0335,649.6072954,4e-11
649.6141965,4e-11,649.6141965,0.0336,649.6141965,4e-11
649.6210976,4e-11,649.6210976,0.0337,649.6210976,4e-11
649.6279987,4e-11,649.6279987,0.0339,649.6279987,4e-11
649.6348998,4e-11,649.6348998,0.0341,649.6348998,4e-11
649.6418009,4e-11,649.6418009,0.0343,649.6418009,4e-11
649.6487019,4e-11,649.6487019,0.0346,649.6487019,4e-11
649.655603,4e-11,649.655603,0.0349,649.655603,4e-11
649.6625041,4e-11,649.6625041,0.0353,649.6625041,4e-11
649.6694052,4e-11,649.6694052,0.0357,649.6694052,4e-11
649.6763063,4e-11,649.6763063,0.0361,649.6763063,4e-11
649.6832074,4e-11,649.6832074,0.0365,649.6832074,4e-11
649.6901084,4e-11,649.6901084,0.037,649.6901084,5e-11
649.6970095,4e-11,649.6970095,0.0374,649.6970095,5e-11
649.7039106,4e-11,649.7039106,0.0378,649.7039106,5e-11
649.7108117,4e-11,649.7108117,0.0382,649.7108117,5e-11
649.7177128,4e-11,649.7177128,0.0386,649.7177128,5e-11
649.7246139,4e-11,649.7246139,0.039,649.7246139,5e-11
649.731515,4e-11,649.731515,0.0394,649.731515,5e-11
649.738416,4e-11,649.738416,0.0397,649.738416,5e-11
649.7453171,4e-11,649.7453171,0.04,649.7453171,5e-11
649.7522182,4e-11,649.7522182,0.0402,649.7522182,5e-11
649.7591193,4e-11,649.7591193,0.0405,649.7591193,5e-11
649.7660204,4e-11,649.7660204,0.0407,649.7660204,5e-11
649.7729215,4e-11,649.7729215,0.0409,649.7729215,5e-11
649.7798225,4e-11,649.7798225,0.0411,649.7798225,5e-11
649.7867236,4e-11,649.7867236,0.0413,649.7867236,5e-11
649.7936247,4e-11,649.7936247,0.0414,649.7936247,5e-11
649.8005258,4e-11,649.8005258,0.0416,649.8005258,5e-11
649.8074269,4e-11,649.8074269,0.0417,649.8074269,5e-11
649.814328,4e-11,649.814328,0.0417,649.814328,5e-11
649.8212291,4e-11,649.8212291,0.0418,649.8212291,5e-11
649.8281301,5e-11,649.8281301,0.0418,649.8281301,5e-11
649.8350312,5e-11,649.8350312,0.0418,649.8350312,5e-11
649.8419323,5e-11,649.8419323,0.0417,649.8419323,5e-11
649.8488334,5e-11,649.8488334,0.0416,649.8488334,5e-11
649.8557345,5e-11,649.8557345,0.0414,649.8557345,5e-11
649.8626356,5e-11,649.8626356,0.0412,649.8626356,5e-11
649.8695366,5e-11,649.8695366,0.0409,649.8695366,5e-11
649.8764377,5e-11,649.8764377,0.0406,649.8764377,6e-11
649.8833388,5e-11,649.8833388,0.0403,649.8833388,6e-11
649.8902399,5e-11,649.8902399,0.0399,649.8902399,6e-11
649.897141,5e-11,649.897141,0.0395,649.897141,6e-11
649.9040421,5e-11,649.9040421,0.039,649.9040421,6e-11
649.9109431,5e-11,649.9109431,0.0386,649.9109431,6e-11
649.9178442,5e-11,649.9178442,0.0382,649.9178442,6e-11
649.9247453,5e-11,649.9247453,0.0377,649.9247453,6e-11
649.9316464,5e-11,649.9316464,0.0373,649.9316464,6e-11
649.9385475,5e-11,649.9385475,0.0369,649.9385475,6e-11
649.9454486,5e-11,649.9454486,0.0365,649.9454486,6e-11
649.9523497,5e-11,649.9523497,0.0361,649.9523497,6e-11
649.9592507,5e-11,649.9592507,0.0358,649.9592507,6e-11
649.9661518,5e-11,649.9661518,0.0355,649.9661518,6e-11
649.9730529,5e-11,649.9730529,0.0352,649.9730529,6e-11
649.979954,5e-11,649.979954,0.0349,649.979954,6e-11
649.9868551,5e-11,649.9868551,0.0347,649.9868551,6e-11
649.9937562,5e-11,649.9937562,0.0346,649.9937562,6e-11
650.0006572,5e-11,650.0006572,0.0344,650.0006572,6e-11
650.0075583,5e-11,650.0075583,0.0343,650.0075583,6e-11
650.0144594,5e-11,650.0144594,0.0343,650.0144594,6e-11
650.0213605,6e-11,650.0213605,0.0343,650.0213605,6e-11
650.0282616,6e-11,650.0282616,0.0343,650.0282616,7e-11
650.0351627,6e-11,650.0351627,0.0344,650.0351627,7e-11
650.0420638,6e-11,650.0420638,0.0345,650.0420638,7e-11
650.0489648,6e-11,650.0489648,0.0347,650.0489648,7e-11
650.0558659,6e-11,650.0558659,0.0349,650.0558659,7e-11
650.062767,6e-11,650.062767,0.0352,650.062767,7e-11
650.0696681,6e-11,650.0696681,0.0355,650.0696681,7e-11
650.0765692,6e-11,650.0765692,0.0358,650.0765692,7e-11
650.0834703,6e-11,650.0834703,0.0362,650.0834703,7e-11
650.0903713,6e-11,650.0903713,0.0366,650.0903713,7e-11
650.0972724,6e-11,650.0972724,0.037,650.0972724,7e-11
650.1041735,6e-11,650.1041735,0.0374,650.1041735,7e-11
650.1110746,6e-11,650.1110746,0.0378,650.1110746,7e-11
650.1179757,6e-11,650.1179757,0.0382,650.1179757,7e-11
650.1248768,6e-11,650.1248768,0.0386,650.1248768,7e-11
650.1317779,6e-11,650.1317779,0.0389,650.1317779,7e-11
650.1386789,6e-11,650.1386789,0.0393,650.1386789,7e-11
650.14558,6e-11,650.14558,0.0396,650.14558,7e-11
650.1524811,6e-11,650.1524811,0.0399,650.1524811,7e-11
650.1593822,6e-11,650.1593822,0.0402,650.1593822,8e-11
650.1662833,6e-11,650.1662833,0.0404,650.1662833,8e-11
650.1731844,7e-11,650.1731844,0.0407,650.1731844,8e-11
650.1800854,7e-11,650.1800854,0.0409,650.1800854,8e-11
650.1869865,7e-11,650.1869865,0.0411,650.1869865,8e-11
650.1938876,7e-11,650.1938876,0.0413,650.1938876,8e-11
650.2007887,7e-11,650.2007887,0.0415,650.2007887,8e-11
650.2076898,7e-11,650.2076898,0.0416,650.2076898,8e-11
650.2145909,7e-11,650.2145909,0.0418,650.2145909,8e-11
650.2214919,7e-11,650.2214919,0.0419,650.2214919,8e-11
650.228393,7e-11,650.228393,0.042,650.228393,8e-11
650.2352941,7e-11,650.2352941,0.0421,650.2352941,8e-11
650.2421952,7e-11,650.2421952,0.0422,650.2421952,8e-11
650.2490963,7e-11,650.2490963,0.0422,650.2490963,8e-11
650.2559974,7e-11,650.2559974,0.0422,650.2559974,8e-11
650.2628985,7e-11,650.2628985,0.0422,650.2628985,9e-11
650.2697995,7e-11,650.2697995,0.0421,650.2697995,9e-11
650.2767006,7e-11,650.2767006,0.042,650.2767006,9e-11
650.2836017,7e-11,650.2836017,0.0418,650.2836017,9e-11
650.2905028,7e-11,650.2905028,0.0416,650.2905028,9e-11
650.2974039,7e-11,650.2974039,0.0413,650.2974039,9e-11
650.304305,8e-11,650.304305,0.041,650.304305,9e-11
650.311206,8e-11,650.311206,0.0406,650.311206,9e-11
650.3181071,8e-11,650.3181071,0.0402,650.3181071,9e-11
650.3250082,8e-11,650.3250082,0.0398,650.3250082,9e-11
650.3319093,8e-11,650.3319093,0.0393,650.3319093,9e-11
650.3388104,8e-11,650.3388104,0.0389,650.3388104,9e-11
650.3457115,8e-11,650.3457115,0.0385,650.3457115,9e-11
650.3526126,8e-11,650.3526126,0.038,650.3526126,9e-11
650.3595136,8e-11,650.3595136,0.0376,650.3595136,1e-10
650.3664147,8e-11,650.3664147,0.0372,650.3664147,1e-10
650.3733158,8e-11,650.3733158,0.0368,650.3733158,1e-10
650.3802169,8e-11,650.3802169,0.0365,650.3802169,1e-10
650.387118,8e-11,650.387118,0.0362,650.387118,1e-10
650.3940191,8e-11,650.3940191,0.0359,650.3940191,1e-10
650.4009201,8e-11,650.4009201,0.0357,650.4009201,1e-10
650.4078212,8e-11,650.4078212,0.0355,650.4078212,1e-10
650.4147223,9e-11,650.4147223,0.0353,650.4147223,1e-10
650.4216234,9e-11,650.4216234,0.0352,650.4216234,1e-10
650.4285245,9e-11,650.4285245,0.0352,650.4285245,1e-10
650.4354256,9e-11,650.4354256,0.0352,650.4354256,1e-10
650.4423267,9e-11,650.4423267,0.0353,650.4423267,1e-10
650.4492277,9e-11,650.4492277,0.0354,650.4492277,1.1e-10
650.4561288,9e-11,650.4561288,0.0355,650.4561288,1.1e-10
650.4630299,9e-11,650.4630299,0.0357,650.4630299,1.1e-10
650.469931,9e-11,650.469931,0.0359,650.469931,1.1e-10
650.4768321,9e-11,650.4768321,0.0362,650.4768321,1.1e-10
650.4837332,9e-11,650.4837332,0.0365,650.4837332,1.1e-10
650.4906342,9e-11,650.4906342,0.0368,650.4906342,1.1e-10
650.4975353,9e-11,650.4975353,0.0372,650.4975353,1.1e-10
650.5044364,9e-11,650.5044364,0.0376,650.5044364,1.1e-10
650.5113375,1e-10,650.5113375,0.0379,650.5113375,1.1e-10
650.5182386,1e-10,650.5182386,0.0383,650.5182386,1.1e-10
650.5251397,1e-10,650.5251397,0.0386,650.5251397,1.2e-10
650.5320407,1e-10,650.5320407,0.039,650.5320407,1.2e-10
650.5389418,1e-10,650.5389418,0.0393,650.5389418,1.2e-10
650.5458429,1e-10,650.5458429,0.0396,650.5458429,1.2e-10
650.552744,1e-10,650.552744,0.0399,650.552744,1.2e-10
650.5596451,1e-10,650.5596451,0.0402,650.5596451,1.2e-10
650.5665462,1e-10,650.5665462,0.0404,650.5665462,1.2e-10
650.5734473,1e-10,650.5734473,0.0406,650.5734473,1.2e-10
650.5803483,1e-10,650.5803483,0.0408,650.5803483,1.2e-10
650.5872494,1e-10,650.5872494,0.0411,650.5872494,1.2e-10
650.5941505,1e-10,650.5941505,0.0412,650.5941505,1.3e-10
650.6010516,1.1e-10,650.6010516,0.0414,650.6010516,1.3e-10
650.6079527,1.1e-10,650.6079527,0.0416,650.6079527,1.3e-10
650.6148538,1.1e-10,650.6148538,0.0418,650.6148538,1.3e-10
650.6217548,1.1e-10,650.6217548,0.042,650.6217548,1.3e-10
650.6286559,1.1e-10,650.6286559,0.0421,650.6286559,1.3e-10
650.635557,1.1e-10,650.635557,0.0423,650.635557,1.3e-10
650.6424581,1.1e-10,650.6424581,0.0424,650.6424581,1.3e-10
650.6493592,1.1e-10,650.6493592,0.0425,650.6493592,1.3e-10
650.6562603,1.1e-10,650.6562603,0.0426,650.6562603,1.4e-10
650.6631614,1.1e-10,650.6631614,0.0427,650.6631614,1.4e-10
650.6700624,1.1e-10,650.6700624,0.0427,650.6700624,1.4e-10
650.6769635,1.2e-10,650.6769635,0.0427,650.6769635,1.4e-10
650.6838646,1.2e-10,650.6838646,0.0427,650.6838646,1.4e-10
650.6907657,1.2e-10,650.6907657,0.0426,650.6907657,1.4e-10
650.6976668,1.2e-10,650.6976668,0.0424,650.6976668,1.4e-10
650.7045679,1.2e-10,650.7045679,0.0422,650.7045679,1.4e-10
650.7114689,1.2e-10,650.7114689,0.042,650.7114689,1.5e-10
650.71837,1.2e-10,650.71837,0.0416,650.71837,1.5e-10
650.7252711,1.2e-10,650.7252711,0.0413,650.7252711,1.5e-10
650.7321722,1.2e-10,650.7321722,0.0409,650.7321722,1.5e-10
650.7390733,1.2e-10,650.7390733,0.0405,650.7390733,1.5e-10
650.7459744,1.3e-10,650.7459744,0.0401,650.7459744,1.5e-10
650.7528755,1.3e-10,650.7528755,0.0396,650.7528755,1.5e-10
650.7597765,1.3e-10,650.7597765,0.0392,650.7597765,1.5e-10
650.7666776,1.3e-10,650.7666776,0.0388,650.7666776,1.6e-10
650.7735787,1.3e-10,650.7735787,0.0383,650.7735787,1.6e-10
650.7804798,1.3e-10,650.7804798,0.038,650.7804798,1.6e-10
650.7873809,1.3e-10,650.7873809,0.0376,650.7873809,1.6e-10
650.794282,1.3e-10,650.794282,0.0373,650.794282,1.6e-10
650.801183,1.3e-10,650.801183,0.037,650.801183,1.6e-10
650.8080841,1.3e-10,650.8080841,0.0367,650.8080841,1.6e-10
650.8149852,1.4e-10,650.8149852,0.0365,650.8149852,1.7e-10
650.8218863,1.4e-10,650.8218863,0.0364,650.8218863,1.7e-10
650.8287874,1.4e-10,650.8287874,0.0363,650.8287874,1.7e-10
650.8356885,1.4e-10,650.8356885,0.0363,650.8356885,1.7e-10
650.8425895,1.4e-10,650.8425895,0.0363,650.8425895,1.7e-10
650.8494906,1.4e-10,650.8494906,0.0363,650.8494906,1.7e-10
650.8563917,1.4e-10,650.8563917,0.0364,650.8563917,1.7e-10
650.8632928,1.4e-10,650.8632928,0.0366,650.8632928,1.8e-10
650.8701939,1.5e-10,650.8701939,0.0368,650.8701939,1.8e-10
650.877095,1.5e-10,650.877095,0.037,650.877095,1.8e-10
650.8839961,1.5e-10,650.8839961,0.0373,650.8839961,1.8e-10
650.8908971,1.5e-10,650.8908971,0.0376,650.8908971,1.8e-10
650.8977982,1.5e-10,650.8977982,0.0379,650.8977982,1.8e-10
650.9046993,1.5e-10,650.9046993,0.0382,650.9046993,1.9e-10
650.9116004,1.5e-10,650.9116004,0.0386,650.9116004,1.9e-10
650.9185015,1.5e-10,650.9185015,0.0389,650.9185015,1.9e-10
650.9254026,1.6e-10,650.9254026,0.0392,650.9254026,1.9e-10
650.9323036,1.6e-10,650.9323036,0.0395,650.9323036,1.9e-10
650.9392047,1.6e-10,650.9392047,0.0397,650.9392047,1.9e-10
650.9461058,1.6e-10,650.9461058,0.04,650.9461058,2e-10
650.9530069,1.6e-10,650.9530069,0.0402,650.9530069,2e-10
650.959908,1.6e-10,650.959908,0.0405,650.959908,2e-10
650.9668091,1.6e-10,650.9668091,0.0407,650.9668091,2e-10
650.9737102,1.7e-10,650.9737102,0.0409,650.9737102,2e-10
650.9806112,1.7e-10,650.9806112,0.0411,650.9806112,2e-10
650.9875123,1.7e-10,650.9875123,0.0413,650.9875123,2.1e-10
650.9944134,1.7e-10,650.9944134,0.0415,650.9944134,2.1e-10
651.0013145,1.7e-10,651.0013145,0.0416,651.0013145,2.1e-10
651.0082156,1.7e-10,651.0082156,0.0418,651.0082156,2.1e-10
651.0151167,1.7e-10,651.0151167,0.042,651.0151167,2.1e-10
651.0220177,1.8e-10,651.0220177,0.0422,651.0220177,2.2e-10
651.0289188,1.8e-10,651.0289188,0.0424,651.0289188,2.2e-10
651.0358199,1.8e-10,651.0358199,0.0426,651.0358199,2.2e-10
651.042721,1.8e-10,651.042721,0.0427,651.042721,2.2e-10
651.0496221,1.8e-10,651.0496221,0.0429,651.0496221,2.2e-10
651.0565232,1.8e-10,651.0565232,0.043,651.0565232,2.3e-10
651.0634243,1.8e-10,651.0634243,0.0432,651.0634243,2.3e-10
651.0703253,1.9e-10,651.0703253,0.0432,651.0703253,2.3e-10
651.0772264,1.9e-10,651.0772264,0.0433,651.0772264,2.3e-10
651.0841275,1.9e-10,651.0841275,0.0433,651.0841275,2.3e-10
651.0910286,1.9e-10,651.0910286,0.0433,651.0910286,2.4e-10
651.0979297,1.9e-10,651.0979297,0.0432,651.0979297,2.4e-10
651.1048308,1.9e-10,651.1048308,0.0431,651.1048308,2.4e-10
651.1117318,2e-10,651.1117318,0.0429,651.1117318,2.4e-10
651.1186329,2e-10,651.1186329,0.0426,651.1186329,2.4e-10
651.125534,2e-10,651.125534,0.0423,651.125534,2.5e-10
651.1324351,2e-10,651.1324351,0.042,651.1324351,2.5e-10
651.1393362,2e-10,651.1393362,0.0416,651.1393362,2.5e-10
651.1462373,2e-10,651.1462373,0.0412,651.1462373,2.5e-10
651.1531384,2.1e-10,651.1531384,0.0408,651.1531384,2.6e-10
651.1600394,2.1e-10,651.1600394,0.0404,651.1600394,2.6e-10
651.1669405,2.1e-10,651.1669405,0.0399,651.1669405,2.6e-10
651.1738416,2.1e-10,651.1738416,0.0395,651.1738416,2.6e-10
651.1807427,2.1e-10,651.1807427,0.0391,651.1807427,2.7e-10
651.1876438,2.2e-10,651.1876438,0.0388,651.1876438,2.7e-10
651.1945449,2.2e-10,651.1945449,0.0385,651.1945449,2.7e-10
651.2014459,2.2e-10,651.2014459,0.0382,651.2014459,2.7e-10
651.208347,2.2e-10,651.208347,0.0379,651.208347,2.8e-10
651.2152481,2.2e-10,651.2152481,0.0377,651.2152481,2.8e-10
651.2221492,2.3e-10,651.2221492,0.0376,651.2221492,2.8e-10
651.2290503,2.3e-10,651.2290503,0.0375,651.2290503,2.8e-10
651.2359514,2.3e-10,651.2359514,0.0375,651.2359514,2.9e-10
651.2428524,2.3e-10,651.2428524,0.0375,651.2428524,2.9e-10
651.2497535,2.3e-10,651.2497535,0.0376,651.2497535,2.9e-10
651.2566546,2.4e-10,651.2566546,0.0377,651.2566546,3e-10
651.2635557,2.4e-10,651.2635557,0.0378,651.2635557,3e-10
651.2704568,2.4e-10,651.2704568,0.038,651.2704568,3e-10
